ayet_numarasi,ayet
Yu.1: 1920,"Yahudi yetkililer Yahya'ya, ""Sen kimsin?"" diye sormak üzere Yeruşalim'den kâhinlerle Levililer'i gönderdikleri zaman Yahya'nın tanıklığı şöyle oldu açıkça konuştu, inkâr etmedi ""Ben Mesih değilim"" diye açıkça konuştu."
Yu.1: 21,"Onlar da kendisine, ""Öyleyse sen kimsin? İlyas mısın?"" diye sordular. O da, ""Değilim"" dedi. ""Sen beklediğimiz peygamber misin?"" sorusuna, ""Hayır"" yanıtını verdi."
Yu.1: 22,"Bu kez, ""Kim olduğunu söyle de bizi gönderenlere bir yanıt verelim"" dediler. ""Kendin için ne diyorsun?"""
Yu.1: 23,"Yahya, ""Peygamber Yeşaya'nın dediği gibi, 'Rab'bin yolunu düzleyin' diye çölde haykıranın sesiyim ben"" dedi."
Yu.1: 2425,"Yahya'ya gönderilen bazı Ferisiler ona, ""Sen Mesih, İlyas ya da beklediğimiz peygamber değilsen, niye vaftiz ediyorsun?"" diye sordular."
Yu.1: 26,"Yahya onlara şöyle yanıt verdi: ""Ben suyla vaftiz ediyorum, ama aranızda tanımadığınız biri duruyor."
Yu.1: 27,"Benden sonra gelen O'dur. Ben O'nun çarığının bağını çözmeye bile layık değilim."""
Yu.1: 28,"Bütün bunlar Şeria Irmağı'nın ötesinde bulunan Beytanya'da, Yahya'nın vaftiz ettiği yerde oldu. Tanrı Kuzusu"
Yu.1: 29,"Yahya ertesi gün İsa'nın kendisine doğru geldiğini görünce şöyle dedi: ""İşte, dünyanın günahını ortadan kaldıran Tanrı Kuzusu!"
Yu.1: 30,"Kendisi için, 'Benden sonra biri geliyor, O benden üstündür. Çünkü O benden önce vardı' dediğim kişi işte budur."
Yu.1: 31,"Ben O'nu tanımıyordum, ama İsrail'in O'nu tanıması için ben suyla vaftiz ederek geldim."""
Yu.1: 32,"Yahya tanıklığını şöyle sürdürdü: ""Ruh'un güvercin gibi gökten indiğini, O'nun üzerinde durduğunu gördüm."
Yu.1: 33,"Ben O'nu tanımıyordum. Ama suyla vaftiz etmek için beni gönderen, 'Ruh'un kimin üzerine inip durduğunu görürsen, Kutsal Ruh'la vaftiz eden O'dur' dedi."
Yu.1: 34,"Ben de gördüm ve 'Tanrı'nın Oğlu budur' diye tanıklık ettim."" İsa'nın İlk Öğrencileri"
Yu.1: 35,Ertesi gün Yahya yine öğrencilerinden ikisiyle birlikteydi.
Yu.1: 36,"Oradan geçen İsa'ya bakarak, ""İşte Tanrı Kuzusu!"" dedi."
Yu.1: 37,Onun söylediklerini duyan iki öğrenci İsa'nın ardından gitti.
Yu.1: 38,"İsa arkasına dönüp ardından geldiklerini görünce, ""Ne arıyorsunuz?"" diye sordu. Onlar da, ""Rabbî, nerede oturuyorsun?"" dediler. Rabbî, öğretmenim anlamına gelir."
Yu.1: 39,"İsa, ""Gelin, görün"" dedi. Gidip O'nun nerede oturduğunu gördüler ve o gün O'nunla kaldılar. Saat dört sularıydı."
Yu.1: 40,Yahya'yı işitip İsa'nın ardından giden iki kişiden biri Simun Petrus'un kardeşi Andreas'tı.
Yu.1: 41,"Andreas önce kendi kardeşi Simun'u bularak ona, ""Biz Mesih'i bulduk"" dedi. Mesih, meshedilmiş anlamına gelir."
Yu.1: 42,"Andreas kardeşini İsa'ya götürdü. İsa ona baktı, ""Sen Yuhanna'nın oğlu Simun'sun. Kefas diye çağrılacaksın"" dedi. Kefas, kaya anlamına gelir."
Yu.1: 43,"Ertesi gün İsa, Celile'ye gitmeye karar verdi. Filipus'u bulup ona, ""Ardımdan gel"" dedi."
Yu.1: 44,Filipus da Andreas ile Petrus'un kenti olan Beytsayda'dandı.
Yu.1: 45,"Filipus, Natanel'i bularak ona, ""Musa'nın Kutsal Yasa'da hakkında yazdığı, peygamberlerin de sözünü ettiği kişiyi, Yusuf oğlu Nasıralı İsa'yı bulduk"" dedi."
Yu.1: 46,"Natanel Filipus'a, ""Nasıra'dan iyi bir şey çıkabilir mi?"" diye sordu. Filipus, ""Gel de gör"" dedi."
Yu.1: 47,"İsa, Natanel'in kendisine doğru geldiğini görünce onun için, ""İşte, içinde hile olmayan gerçek bir İsrailli!"" dedi."
Yu.1: 48,"Natanel, ""Beni nereden tanıyorsun?"" diye sordu. İsa, ""Filipus çağırmadan önce seni incir ağacının altında gördüm"" yanıtını verdi."
Yu.1: 49,"Natanel, ""Rabbî, sen Tanrı'nın Oğlu'sun, sen İsrail'in Kralı'sın!"" dedi."
Yu.1: 50,"İsa ona dedi ki, ""Seni incir ağacının altında gördüğümü söylediğim için mi inanıyorsun? Bunlardan daha büyük şeyler göreceksin."""
Yu.1: 51,"Sonra da, ""Size doğrusunu söyleyeyim, göğün açıldığını, Tanrı meleklerinin İnsanoğlu üzerinde yükselip indiklerini göreceksiniz"" dedi.  BÖLÜM 2 İsa'nın İlk Mucizesi"
Yu.2: 1,Üçüncü gün Celile'nin Kana Köyü'nde bir düğün vardı. İsa'nın annesi de oradaydı.
Yu.2: 2,İsa'yla öğrencileri de düğüne çağrılmışlardı.
Yu.2: 3,"Şarap tükenince annesi İsa'ya, ""Şarapları kalmadı"" dedi."
Yu.2: 4,"İsa, ""Anne , benden ne istiyorsun? Benim saatim daha gelmedi"" dedi."
Yu.2: 5,"Annesi hizmet edenlere, ""Size ne derse onu yapın"" dedi."
Yu.2: 6,"Yahudiler'in geleneksel temizliği için oraya konmuş, her biri seksenle yüz yirmi litre alan altı taş küp vardı."
Yu.2: 7,"İsa hizmet edenlere, ""Küpleri suyla doldurun"" dedi. Küpleri ağızlarına kadar doldurdular."
Yu.2: 8,"Sonra hizmet edenlere, ""Şimdi biraz alıp şölen başkanına götürün"" dedi. Onlar da götürdüler."
Yu.2: 910,"Şölen başkanı, şaraba dönüşmüş suyu tattı. Bunun nereden geldiğini bilmiyordu, oysa suyu küpten alan hizmetkârlar biliyorlardı. Şölen başkanı güveyi çağırıp, ""Herkes önce iyi şarabı, çok içildikten sonra da kötüsünü sunar"" dedi, ""Ama sen iyi şarabı şimdiye dek saklamışsın."""
Yu.2: 11,İsa bu ilk doğaüstü belirtisini Celile'nin Kana Köyü'nde gerçekleştirdi ve yüceliğini gösterdi. Öğrencileri de O'na iman ettiler. İsa Satıcıları Tapınaktan Kovuyor (
Yu.2: 12,"Bundan sonra İsa, annesi, kardeşleri ve öğrencileri Kefarnahum'a gidip orada birkaç gün kaldılar."
Yu.2: 13,Yahudiler'in Fısıh Bayramı yakındı. İsa da Yeruşalim'e gitti.
Yu.2: 14,"Tapınağın avlusunda sığır, koyun ve güvercin satanları, orada oturmuş para bozanları gördü."
Yu.2: 15,"İpten bir kamçı yaparak hepsini koyunlar ve sığırlarla birlikte tapınaktan kovdu, para bozanların paralarını döküp masalarını devirdi."
Yu.2: 16,"Güvercin satanlara, ""Bunları buradan kaldırın, Babam'ın evini pazar yerine çevirmeyin!"" dedi."
Yu.2: 17,"Öğrencileri, ""Evin için gösterdiğim gayret beni yiyip bitirecek"" diye yazılmış olan sözü hatırladılar."
Yu.2: 18,"Yahudi yetkililer İsa'ya, ""Bunları yaptığına göre, bize nasıl bir belirti göstereceksin?"" diye sordular."
Yu.2: 19,"İsa şu yanıtı verdi: ""Bu tapınağı yıkın, üç günde onu yeniden kuracağım."""
Yu.2: 20,"Yahudi yetkililer, ""Bu tapınak kırk altı yılda yapıldı, sen onu üç günde mi kuracaksın?"" dediler."
Yu.2: 21,Ama İsa'nın sözünü ettiği tapınak kendi bedeniydi.
Yu.2: 22,"İsa ölümden dirilince öğrencileri bu sözü söylediğini hatırladılar, Kutsal Yazı'ya ve İsa'nın söylediği bu söze iman ettiler."
Yu.2: 23,Fısıh Bayramı'nda İsa'nın Yeruşalim'de bulunduğu sırada gerçekleştirdiği belirtileri gören birçokları O'nun adına iman ettiler.
Yu.2: 24,Ama İsa bütün insanların yüreğini bildiği için onlara güvenmiyordu.
Yu.2: 25,İnsan hakkında kimsenin O'na bir şey söylemesine gerek yoktu. Çünkü kendisi insanın içinden geçenleri biliyordu.  BÖLÜM 3 İsa ile Nikodim
Yu.3: 12,"Yahudiler'in Nikodim adlı bir önderi vardı. Ferisiler'den olan bu adam bir gece İsa'ya gelerek, ""Rabbî , senin Tanrı'dan gelmiş bir öğretmen olduğunu biliyoruz. Çünkü Tanrı kendisiyle olmadıkça kimse senin yaptığın bu mucizeleri yapamaz"" dedi."
Yu.3: 3,"İsa ona şu karşılığı verdi: ""Sana doğrusunu söyleyeyim, bir kimse yeniden doğmadıkça Tanrı'nın Egemenliği'ni göremez."""
Yu.3: 4,"Nikodim, ""Yaşlanmış bir adam nasıl doğabilir? Annesinin rahmine ikinci kez girip doğabilir mi?"" diye sordu."
Yu.3: 5,"İsa şöyle yanıt verdi: ""Sana doğrusunu söyleyeyim, bir kimse sudan ve Ruh'tan doğmadıkça Tanrı'nın Egemenliği'ne giremez."
Yu.3: 6,"Bedenden doğan bedendir, Ruh'tan doğan ruhtur."
Yu.3: 7,"Sana, 'Yeniden doğmalısınız' dediğime şaşma."
Yu.3: 8,"Yel dilediği yerde eser; sesini işitirsin, ama nereden gelip nereye gittiğini bilemezsin. Ruh'tan doğan herkes böyledir."""
Yu.3: 9,"Nikodim İsa'ya, ""Bunlar nasıl olabilir?"" diye sordu."
Yu.3: 10,"İsa ona şöyle yanıt verdi: ""Sen İsrail'in öğretmeni olduğun halde bunları anlamıyor musun?"
Yu.3: 11,"Sana doğrusunu söyleyeyim, biz bildiğimizi söylüyoruz, gördüğümüze tanıklık ediyoruz. Sizler ise bizim tanıklığımızı kabul etmiyorsunuz."
Yu.3: 12,"Sizlere yeryüzüyle ilgili şeyleri söylediğim zaman inanmazsanız, gökle ilgili şeyleri söylediğimde nasıl inanacaksınız?"
Yu.3: 13,Gökten inmiş olan İnsanoğlu'ndan başka hiç kimse göğe çıkmamıştır.
Yu.3: 14,"Musa çölde yılanı nasıl yukarı kaldırdıysa, İnsanoğlu'nun da öylece yukarı kaldırılması gerekir."
Yu.3: 15,"Öyle ki, O'na iman eden herkes sonsuz yaşama kavuşsun."
Yu.3: 16,"""Çünkü Tanrı dünyayı o kadar çok sevdi ki, biricik Oğlu'nu verdi. Öyle ki, O'na iman edenlerin hiçbiri mahvolmasın, hepsi sonsuz yaşama kavuşsun."
Yu.3: 17,"Tanrı, Oğlu'nu dünyayı yargılamak için göndermedi, dünya O'nun aracılığıyla kurtulsun diye gönderdi."
Yu.3: 18,"O'na iman eden yargılanmaz, iman etmeyen ise zaten yargılanmıştır. Çünkü Tanrı'nın biricik Oğlu'nun adına iman etmemiştir."
Yu.3: 19,"Yargı da şudur: Dünyaya ışık geldi, ama insanlar ışık yerine karanlığı sevdiler. Çünkü yaptıkları işler kötüydü."
Yu.3: 20,Kötülük yapan herkes ışıktan nefret eder ve yaptıkları açığa çıkmasın diye ışığa yaklaşmaz.
Yu.3: 21,"Ama gerçeği uygulayan kişi yaptıklarını, Tanrı'ya dayanarak yaptığını göstermek için ışığa gelir."" Yahya'nın Tanıklığı"
Yu.3: 22,Bundan sonra İsa'yla öğrencileri Yahudiye diyarına gittiler. İsa onlarla birlikte orada bir süre kalarak vaftiz etti.
Yu.3: 23,Yahya da Salim yakınındaki Aynon'da vaftiz ediyordu. Çünkü orada bol su vardı. İnsanlar gelip vaftiz oluyorlardı.
Yu.3: 24,Yahya henüz hapse atılmamıştı.
Yu.3: 25,O sıralarda Yahya'nın öğrencileriyle bir Yahudi arasında temizlenme konusunda bir tartışma çıktı.
Yu.3: 26,"Öğrencileri Yahya'ya gelerek, ""Rabbî"" dediler, ""Şeria Irmağı'nın karşı yakasında birlikte olduğun ve kendisi için tanıklık ettiğin adam var ya, işte O vaftiz ediyor, herkes de O'na gidiyor."""
Yu.3: 27,"Yahya şöyle yanıt verdi: ""İnsan, kendisine gökten verilmedikçe hiçbir şey alamaz."
Yu.3: 28,"'Ben Mesih değilim, ama O'nun öncüsü olarak gönderildim' dediğime siz kendiniz tanıksınız."
Yu.3: 29,"Gelin kiminse, güvey odur. Ama güveyin yanında duran ve onu dinleyen dostu onun sesini işitince çok sevinir. İşte benim sevincim böylece tamamlandı."
Yu.3: 30,"O büyümeli, bense küçülmeliyim."""
Yu.3: 31,"Yukarıdan gelen, herkesten üstündür. Dünyadan olan dünyaya aittir ve dünyadan söz eder. Gökten gelen ise, herkesten üstündür."
Yu.3: 32,"Ne görmüş ne işitmişse ona tanıklık eder, ama tanıklığını kimse kabul etmez."
Yu.3: 33,"O'nun tanıklığını kabul eden, Tanrı'nın gerçek olduğuna mührünü basmıştır."
Yu.3: 34,"Tanrı'nın gönderdiği kişi Tanrı'nın sözlerini söyler. Çünkü Tanrı, Ruh'u ölçüyle vermez."
Yu.3: 35,Baba Oğul'u sever; her şeyi O'na teslim etmiştir.
Yu.3: 36,Oğul'a iman edenin sonsuz yaşamı vardır. Ama Oğul'un sözünü dinlemeyen yaşamı görmeyecektir. Tanrı'nın gazabı böylesinin üzerinde kalır.  BÖLÜM 4 İsa ile Samiriyeli Kadın
Yu.4: 13,"Ferisiler , İsa'nın Yahya'dan daha çok öğrenci edinip vaftiz ettiğini duydular aslında İsa'nın kendisi değil, öğrencileri vaftiz ediyorlardı İsa bunu öğrenince Yahudiye'den ayrılıp yine Celile'ye gitti."
Yu.4: 4,Giderken Samiriye'den geçmesi gerekiyordu.
Yu.4: 5,Böylece Samiriye'nin Sihar denilen kentine geldi. Burası Yakup'un kendi oğlu Yusuf'a vermiş olduğu toprağın yakınındaydı.
Yu.4: 6,"Yakup'un kuyusu da oradaydı. İsa, yolculuktan yorulmuş olduğu için kuyunun yanına oturmuştu. Saat on iki sularıydı."
Yu.4: 7,"Samiriyeli bir kadın su çekmeye geldi. İsa ona, ""Bana su ver, içeyim"" dedi."
Yu.4: 8,İsa'nın öğrencileri yiyecek satın almak için kente gitmişlerdi.
Yu.4: 9,"Samiriyeli kadın, ""Sen Yahudi'sin, bense Samiriyeli bir kadınım"" dedi, ""Nasıl olur da benden su istersin?"" Çünkü Yahudiler'in Samiriyeliler'le ilişkileri yoktur."
Yu.4: 10,"İsa kadına şu yanıtı verdi: ""Eğer sen Tanrı'nın armağanını ve sana, 'Bana su ver, içeyim' diyenin kim olduğunu bilseydin, sen O'ndan dilerdin, O da sana yaşam suyunu verirdi."""
Yu.4: 11,"Kadın, ""Efendim"" dedi, ""Su çekecek bir şeyin yok, kuyu da derin, yaşam suyunu nereden bulacaksın?"
Yu.4: 12,"Sen, bu kuyuyu bize vermiş, kendisi, oğulları ve davarları ondan içmiş olan atamız Yakup'tan daha mı büyüksün?"""
Yu.4: 13,"İsa şöyle yanıt verdi: ""Bu sudan her içen yine susayacak."
Yu.4: 14,"Oysa benim vereceğim sudan içen sonsuza dek susamaz. Benim vereceğim su, içende sonsuz yaşam için fışkıran bir pınar olacak."""
Yu.4: 15,"Kadın, ""Efendim"" dedi, ""Bu suyu bana ver. Böylece ne susayayım, ne de su çekmek için buraya kadar geleyim."""
Yu.4: 16,"İsa, ""Git, kocanı çağır ve buraya gel"" dedi."
Yu.4: 17,"Kadın, ""Kocam yok"" diye yanıtladı. İsa, ""Kocam yok demekle doğruyu söyledin"" dedi."
Yu.4: 18,"""Beş kocaya vardın. Şimdi birlikte yaşadığın adam kocan değil. Doğruyu söyledin."""
Yu.4: 19,"Kadın, ""Efendim, anlıyorum, sen bir peygambersin"" dedi."
Yu.4: 20,"""Atalarımız bu dağda tapındılar, ama sizler tapılması gereken yerin Yeruşalim'de olduğunu söylüyorsunuz."""
Yu.4: 21,"İsa ona şöyle dedi: ""Kadın, bana inan, öyle bir saat geliyor ki, Baba'ya ne bu dağda, ne de Yeruşalim'de tapınacaksınız!"
Yu.4: 22,"Siz bilmediğinize tapıyorsunuz, biz bildiğimize tapıyoruz. Çünkü kurtuluş Yahudiler'dendir."
Yu.4: 23,"Ama içtenlikle tapınanların Baba'ya ruhta ve gerçekte tapınacakları saat geliyor. İşte, o saat şimdidir. Baba da kendisine böyle tapınanları arıyor."
Yu.4: 24,"Tanrı ruhtur, O'na tapınanlar da ruhta ve gerçekte tapınmalıdırlar."""
Yu.4: 25,"Kadın İsa'ya, ""Mesih denilen meshedilmiş Olan'ın geleceğini biliyorum"" dedi, ""O gelince bize her şeyi bildirecek."""
Yu.4: 26,"İsa, ""Seninle konuşan ben, O'yum"" dedi."
Yu.4: 27,"Bu sırada İsa'nın öğrencileri geldiler. O'nun bir kadınla konuşmasına şaştılar. Bununla birlikte hiçbiri, ""Ne istiyorsun?"" ya da, ""O kadınla neden konuşuyorsun?"" demedi."
Yu.4: 2829,"Sonra kadın su testisini bırakarak kente gitti ve halka şöyle dedi: ""Gelin, yaptığım her şeyi bana söyleyen adamı görün. Acaba Mesih bu mudur?"""
Yu.4: 30,Halk da kentten çıkıp İsa'ya doğru gelmeye başladı.
Yu.4: 31,"Bu arada öğrencileri O'na, ""Rabbî , yemek ye!"" diye rica ediyorlardı."
Yu.4: 32,"Ama İsa, ""Benim, sizin bilmediğiniz bir yiyeceğim var"" dedi."
Yu.4: 33,"Öğrenciler birbirlerine, ""Acaba biri O'na yiyecek mi getirdi?"" diye sordular."
Yu.4: 34,"İsa, ""Benim yemeğim, beni gönderenin isteğini yerine getirmek ve O'nun işini tamamlamaktır"" dedi."
Yu.4: 35,"""Sizler, 'Ekinleri biçmeye daha dört ay var' demiyor musunuz? İşte, size söylüyorum, başınızı kaldırıp tarlalara bakın. Ekinler sararmış, biçilmeye hazır!"
Yu.4: 36,"Eken ve biçen birlikte sevinsinler diye, biçen kişi şimdiden ücretini alır ve sonsuz yaşam için ürün toplar."
Yu.4: 37,"'Biri eker, başkası biçer' sözü bu durumda doğrudur."
Yu.4: 38,"Ben sizi, emek vermediğiniz bir ürünü biçmeye gönderdim. Başkaları emek verdiler, siz ise onların emeğinden yararlandınız."""
Yu.4: 39,"O kentten birçok Samiriyeli, ""Yaptığım her şeyi bana söyledi"" diye tanıklık eden kadının sözü üzerine İsa'ya iman etti."
Yu.4: 40,Samiriyeliler O'na gelip yanlarında kalması için rica ettiler. O da orada iki gün kaldı.
Yu.4: 41,O'nun sözü üzerine daha birçokları iman etti.
Yu.4: 42,"Bunlar kadına, ""Bizim iman etmemizin nedeni artık senin sözlerin değil"" diyorlardı. ""Kendimiz işittik, O'nun gerçekten dünyanın Kurtarıcısı olduğunu biliyoruz."" Bir Memurun Oğlu İyileştiriliyor"
Yu.4: 43,Bu iki günden sonra İsa oradan ayrılıp Celile'ye gitti.
Yu.4: 44,"İsa'nın kendisi, bir peygamberin kendi memleketinde saygı görmediğine tanıklık etmişti."
Yu.4: 45,Celile'ye geldiği zaman Celileliler O'nu iyi karşıladılar. Çünkü onlar da bayram için gitmişler ve bayramda O'nun Yeruşalim'de yaptığı her şeyi görmüşlerdi.
Yu.4: 46,"İsa yine, suyu şaraba çevirdiği Celile'nin Kana Köyü'ne geldi. Orada saraya bağlı bir memur vardı. Oğlu Kefarnahum'da hastaydı."
Yu.4: 47,"Adam, İsa'nın Yahudiye'den Celile'ye geldiğini işitince yanına gitti, evine gelip ölmek üzere olan oğlunu iyileştirmesi için O'na yalvardı."
Yu.4: 48,"İsa adama, ""Sizler belirtiler ve harikalar görmedikçe iman etmeyeceksiniz"" dedi."
Yu.4: 49,"Saray memuru İsa'ya, ""Efendim, çocuğum ölmeden yetiş!"" dedi."
Yu.4: 50,"İsa, ""Git, oğlun yaşayacak"" dedi. Adam, İsa'nın söylediği söze iman ederek gitti."
Yu.4: 51,Daha yoldayken köleleri onu karşılayıp oğlunun yaşadığını bildirdiler.
Yu.4: 52,"Adam onlara, oğlunun iyileşmeye başladığı saati sordu. ""Dün öğle üstü saat birde ateşi düştü"" dediler."
Yu.4: 53,"Baba bunun, İsa'nın, ""Oğlun yaşayacak"" dediği saat olduğunu anladı. Kendisi ve bütün ev halkı iman etti."
Yu.4: 54,"İsa, bu ikinci belirtiyi de Yahudiye'den Celile'ye döndükten sonra gerçekleştirdi.  BÖLÜM 5 Havuzdaki Kötürüm İyileştiriliyor"
Yu.5: 1,İsa bundan sonra Yahudiler'in bir bayramı nedeniyle Yeruşalim'e gitti.
Yu.5: 2,"Yeruşalim'de Koyun Kapısı yanında, İbranice'de Beytesta denilen beş eyvanlı bir havuz vardır."
Yu.5: 34,"Bu eyvanların altında kör, kötürüm, felçli hastalardan bir kalabalık yatardı."
Yu.5: 5,Orada otuz sekiz yıldır hasta olan bir adam vardı.
Yu.5: 6,"İsa hasta yatan bu adamı görünce ve uzun zamandır bu durumda olduğunu anlayınca, ""İyi olmak ister misin?"" diye sordu."
Yu.5: 7,"Hasta şöyle yanıt verdi: ""Efendim, su çalkandığı zaman beni havuza indirecek kimsem yok, tam gireceğim an benden önce başkası giriyor."""
Yu.5: 8,"İsa ona, ""Kalk, şilteni topla ve yürü"" dedi."
Yu.5: 9,Adam o anda iyileşti. Şiltesini toplayıp yürümeye başladı. O gün Şabat Günü'ydü .
Yu.5: 10,"Bu yüzden Yahudi yetkililer iyileşen adama, ""Bugün Şabat Günü"" dediler, ""Şilteni toplaman yasaktır."""
Yu.5: 11,"Ama adam onlara şöyle yanıt verdi: ""Beni iyileştiren kişi bana, 'Şilteni topla ve yürü' dedi."""
Yu.5: 12,"""Sana, 'Şilteni topla ve yürü' diyen adam kim?"" diye sordular."
Yu.5: 13,"İyileşen adam ise O'nun kim olduğunu bilmiyordu. Orası kalabalıktı, İsa da çekilip gitmişti."
Yu.5: 14,"İsa daha sonra adamı tapınakta buldu. ""Bak, iyi oldun. Artık günah işleme de başına daha kötü bir şey gelmesin"" dedi."
Yu.5: 15,Adam gidip Yahudi yetkililere kendisini iyileştirenin İsa olduğunu bildirdi.
Yu.5: 16,Şabat Günü böyle şeyler yaptığı için İsa'ya zulmetmeye başladılar.
Yu.5: 17,"Ama İsa onlara şu karşılığı verdi: ""Babam hâlâ çalışmaktadır, ben de çalışıyorum."""
Yu.5: 18,"İşte bu nedenle Yahudi yetkililer O'nu öldürmek için daha çok gayret ettiler. Çünkü yalnız Şabat Günü düzenini bozmakla kalmamış, Tanrı'nın kendi Babası olduğunu söyleyerek kendisini Tanrı'ya eşit kılmıştı. Oğul'un Yetkisi"
Yu.5: 19,"İsa Yahudi yetkililere şöyle karşılık verdi: ""Size doğrusunu söyleyeyim, Oğul, Baba'nın yaptıklarını görmedikçe kendiliğinden bir şey yapamaz. Baba ne yaparsa Oğul da aynı şeyi yapar."
Yu.5: 20,Çünkü Baba Oğul'u sever ve yaptıklarının hepsini O'na gösterir. Şaşasınız diye O'na bunlardan daha büyük işler de gösterecektir.
Yu.5: 21,"Baba nasıl ölüleri diriltip onlara yaşam veriyorsa, Oğul da dilediği kimselere yaşam verir."
Yu.5: 22,"Baba kimseyi yargılamaz, bütün yargılama işini Oğul'a vermiştir."
Yu.5: 23,"Öyle ki, herkes Baba'yı onurlandırdığı gibi Oğul'u onurlandırsın. Oğul'u onurlandırmayan, O'nu gönderen Baba'yı da onurlandırmaz."
Yu.5: 24,"""Size doğrusunu söyleyeyim, sözümü işitip beni gönderene iman edenin sonsuz yaşamı vardır. Böyle biri yargılanmaz, ölümden yaşama geçmiştir."
Yu.5: 25,"Size doğrusunu söyleyeyim, ölülerin Tanrı Oğlu'nun sesini işitecekleri ve işitenlerin yaşayacakları saat geliyor, geldi bile."
Yu.5: 26,"Çünkü Baba, kendisinde yaşam olduğu gibi, Oğul'a da kendisinde yaşam olma özelliğini verdi."
Yu.5: 27,O'na yargılama yetkisini de verdi. Çünkü O İnsanoğlu'dur .
Yu.5: 28,Buna şaşmayın. Mezarda olanların hepsinin O'nun sesini işitecekleri saat geliyor.
Yu.5: 29,"Ve onlar mezarlarından çıkacaklar. İyilik yapmış olanlar yaşamak, kötülük yapmış olanlar yargılanmak üzere dirilecekler."" İsa'ya Tanıklık Edenler"
Yu.5: 30,"""Ben kendiliğimden hiçbir şey yapamam. İşittiğim gibi yargılarım ve benim yargım adildir. Çünkü amacım kendi istediğimi değil, beni gönderenin istediğini yapmaktır."
Yu.5: 31,"Eğer kendim için ben tanıklık edersem, tanıklığım geçerli olmaz."
Yu.5: 32,Ama benim için tanıklık eden başka biri vardır. O'nun benim için ettiği tanıklığın geçerli olduğunu bilirim.
Yu.5: 33,"Siz Yahya'ya adamlar gönderdiniz, o da gerçeğe tanıklık etti."
Yu.5: 34,"İnsanın tanıklığını kabul ettiğim için değil, kurtulmanız için bunları söylüyorum."
Yu.5: 35,"Yahya, yanan ve ışık saçan bir çıraydı. Sizler onun ışığında bir süre için coşmak istediniz."
Yu.5: 36,"Ama benim, Yahya'nınkinden daha büyük bir tanıklığım var. Tamamlamam için Baba'nın bana verdiği işler, şu yaptığım işler, beni Baba'nın gönderdiğine tanıklık ediyor."
Yu.5: 37,"Beni gönderen Baba da benim için tanıklık etmiştir. Siz hiçbir zaman ne O'nun sesini işittiniz, ne de şeklini gördünüz."
Yu.5: 38,O'nun sözü sizde yaşamıyor. Çünkü O'nun gönderdiği kişiye iman etmiyorsunuz.
Yu.5: 39,Kutsal Yazılar'ı araştırıyorsunuz. Çünkü bunlar aracılığıyla sonsuz yaşama sahip olduğunuzu sanıyorsunuz. Bana tanıklık eden de bu yazılardır!
Yu.5: 40,"Öyleyken siz, yaşama kavuşmak için bana gelmek istemiyorsunuz."
Yu.5: 41,"""İnsanlardan övgü kabul etmiyorum."
Yu.5: 42,"Ama ben sizi bilirim, içinizde Tanrı sevgisi yoktur."
Yu.5: 43,"Ben Babam'ın adına geldim, ama beni kabul etmiyorsunuz. Oysa başka birisi kendi adına gelirse, onu kabul edeceksiniz."
